text,prob_pos,prob_neg,certainty,sentiment
Johnson is asking Santa for a Christmas recovery,0.45290639996528625,0.5470935702323914,0.0941871702671051,negative
‘I now fear the worst’: four grim tales of working life upended by Covid-19,0.18278992176055908,0.8172100186347961,0.6344200968742371,negative
Five key areas Sunak must tackle to serve up economic recovery,0.6506892442703247,0.3493107259273529,0.3013785183429718,positive
Covid-19 leaves firms ‘fatally ill-prepared’ for no-deal Brexit,0.6343309879302979,0.36566901206970215,0.2686619758605957,positive
"The Week in Patriarchy  


  Bacardi's 'lady vodka': the latest in a long line of depressing gendered products",0.9742639064788818,0.025736061856150627,0.9485278446227312,positive
English councils call for smoking ban outside pubs and cafes,0.5215321183204651,0.4784679710865021,0.04306414723396301,positive
Can Tesla justify a $300bn valuation?,0.24716877937316895,0.7528311610221863,0.5056623816490173,negative
Empty city centres: 'I’m not sure it will ever be the same again',0.231570765376091,0.7684292197227478,0.5368584543466568,negative
Democratising finance for all? An investment app for amateurs and a student trader's death,0.9901592135429382,0.009840806014835835,0.9803184075281024,positive
"Homebuyer loses £300,000 to fraudsters – but gets it back after we step in",0.18417984247207642,0.8158201575279236,0.6316403150558472,negative
St Mawes named UK’s top seaside resort in Which? poll,0.5078728795051575,0.49212712049484253,0.01574575901031494,positive
Atol protection to be extended to vouchers on Covid-19 cancellations,0.20593424141407013,0.7940657734870911,0.5881315320730209,negative
"Leaseholders billed up to £115,000 each to remove Grenfell-style cladding",0.8340016603469849,0.16599830985069275,0.6680033504962921,positive
Boohoo calls for licensing scheme to ensure textile factories fit to trade,0.992452085018158,0.0075479233637452126,0.9849041616544127,positive
All Asda HQ staff told to return to office at least once a week from August,0.09645017236471176,0.9035497903823853,0.8070996180176735,negative
"Ask and Zizzi to close 75 outlets, threatening up to 1,200 jobs",0.7397515773773193,0.26024842262268066,0.47950315475463867,positive
British Airways retires iconic Boeing 747 fleet – in pictures,0.9008791446685791,0.0991208553314209,0.8017582893371582,positive
World Bank calls on creditors to cut poorest nations' debt payments,0.017226237803697586,0.9827737808227539,0.9655475430190563,negative
British Airways retires Boeing 747 fleet as Covid-19 hits travel,0.8868131041526794,0.11318691074848175,0.7736261934041977,positive
What will changes to England's lockdown rules mean for me?,0.6336936950683594,0.366306334733963,0.26738736033439636,positive
In search of a new economics for Covid-19 era,0.9760608077049255,0.023939194157719612,0.9521216135472059,positive
Business live  Markets hope for progress over EU recovery fund; US consumer confidence drops – as it happened,0.8145695924758911,0.1854303628206253,0.6291392296552658,positive
"I flew the jumbo for 10 years and never got over how big it was, says 747 pilot",0.5427724123001099,0.4572276175022125,0.08554479479789734,positive
BA begins to carry out its 'fire and rehire' threat to jobs,0.38375675678253174,0.6162432432174683,0.23248648643493652,negative
"Johnson's coronavirus workplace guidance confused, warn unions",0.4886493980884552,0.5113505721092224,0.022701174020767212,negative
What will be changing in Boris Johnson's 'return to normality',0.951323390007019,0.048676569014787674,0.9026468209922314,positive
Lloyds to increase number of black staff in senior roles,0.653237521648407,0.34676244854927063,0.30647507309913635,positive
Silicon Valley has deep pockets for African startups – if you’re not African,0.05103541910648346,0.9489645957946777,0.8979291766881943,negative
'What’s going to give?': millions fret as Republicans threaten to halt $600 weekly lifesaver,0.1885853409767151,0.8114145994186401,0.622829258441925,negative
Future of education  'The MIT of the north': how the government plans to transform ex-mining towns,0.4264410436153412,0.5735589861869812,0.14711794257164001,negative
Battery firm chooses Welsh site for Britain's first gigafactory,0.9068183302879333,0.09318171441555023,0.8136366158723831,positive
Netflix shares drop despite positive second-quarter earnings,0.1364932507276535,0.8635067343711853,0.7270134836435318,negative
"Nils Pratley on finance  


  Centrica left it far too late to tackle its problems",0.14773952960968018,0.8522604703903198,0.7045209407806396,negative
Here's another virus terrorising businesses and causing havoc: ransomware,0.5198869705200195,0.48011305928230286,0.039773911237716675,positive
"$11.3bn in IMF Covid-19 money is being used to service debt, says group",0.7685160636901855,0.23148389160633087,0.5370321720838547,positive
A fifth of Brazilian soy in Europe is result of deforestation,0.4374629855155945,0.5625370144844055,0.12507402896881104,negative
Public sector pension discrimination could cost UK taxpayer £17bn,0.6367273330688477,0.36327269673347473,0.2734546363353729,positive
World's largest oil firm agrees to carbon cuts to tackle climate crisis,0.06687323749065399,0.9331267476081848,0.8662535101175308,negative
Boohoo shares rise 12% after co-founders pump £15m into firm,0.974821150302887,0.02517884038388729,0.9496423099189997,positive
UK government orders halt to Randox Covid-19 tests over safety issues,0.25261443853378296,0.747385561466217,0.4947711229324341,negative
Canary Wharf traders and landlord bank on return to offices,0.22448019683361053,0.775519847869873,0.5510396510362625,negative
Number of UK problem gamblers seeking help soars in lockdown,0.29828691482543945,0.7017130851745605,0.4034261703491211,negative
British Gas owner 'using Covid-19 as smokescreen to alter staff contracts',0.18119074404239655,0.8188092112541199,0.6376184672117233,negative
'It's disrupted our entire lives': UK workers on losing their jobs,0.35967332124710083,0.6403266191482544,0.28065329790115356,negative
Business live  China shares suffer biggest fall since February; US jobless claims still high - as it happened,0.3394169509410858,0.6605830192565918,0.321166068315506,negative
"More than 1,600 UK jobs at risk at casino firm Genting",0.11818139255046844,0.8818185925483704,0.7636371999979019,negative
Royalties investment firm buys catalogue of Lady Gaga collaborator,0.8729984164237976,0.1270015686750412,0.7459968477487564,positive
"Pizza Express to close up to 75 restaurants, risking 1,000 jobs",0.49897003173828125,0.5010299682617188,0.0020599365234375,negative
Rishi Sunak’s Covid-19 package recycled up to £10bn spending – IFS,0.8613050580024719,0.13869494199752808,0.7226101160049438,positive
Next in final stages of buying UK arm of Victoria's Secret,0.8177201151847839,0.18227992951869965,0.6354401856660843,positive
"Human rights in focus  Ethical labels not fit for purpose, report warns consumers",0.08464395254850388,0.9153559803962708,0.8307120278477669,negative
UK banks may have to flag up plans to shut branches or cash machines,0.18046745657920837,0.8195325136184692,0.6390650570392609,negative
1.3m more file for unemployment as US economy continues to reel,0.33161839842796326,0.6683815717697144,0.3367631733417511,negative
Southbank Centre warns of 400 job losses amid coronavirus crisis,0.03191915154457092,0.9680808186531067,0.9361616671085358,negative
UK's hidden problem of rising unemployment may soon be exposed,0.06196106970310211,0.9380388855934143,0.8760778158903122,negative
"UK paid employment falls by almost 650,000 as Covid-19 crisis bites",0.4810119569301605,0.5189880728721619,0.03797611594200134,negative
Banks propose student loan-style scheme for struggling UK businesses,0.9492005109786987,0.05079945921897888,0.8984010517597198,positive
Family fortunes of wealthy increase as super-rich ride coronavirus storm,0.7106533646583557,0.2893465757369995,0.4213067889213562,positive
Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,0.9320214986801147,0.06797852367162704,0.8640429750084877,positive
"29% of UK businesses to cut jobs in next three months, survey says",0.14457103610038757,0.85542893409729,0.7108578979969025,negative
"'Incredible' Boohoo denying knowledge of factory allegations, says MP",0.3453812003135681,0.6546187996864319,0.30923759937286377,negative
Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,0.9320214986801147,0.06797852367162704,0.8640429750084877,positive
"Nils Pratley on finance  


  Margrethe Vestager was 100% correct over public mood on Apple tax case",0.35720306634902954,0.6427969336509705,0.2855938673019409,negative
Fear of Pizza Express closures as chain faces takeover by bondholders,0.7602949142456055,0.23970511555671692,0.5205897986888885,positive
'Not much difference': few takers on first day of hospitality VAT cut,0.012077060528099537,0.9879229664802551,0.9758459059521556,negative
Capital gains tax review: your questions answered,0.18922127783298492,0.8107787370681763,0.6215574592351913,negative
Asos considers action against Leicester supplier in ethical audit,0.26006045937538147,0.7399395704269409,0.47987911105155945,negative
Business live  Chancellor Rishi Sunak warns of 'tough choices' to address public finances - as it happened,0.5317869186401367,0.46821311116218567,0.06357380747795105,positive
BBC announces further 70 job cuts in news division,0.16218088567256927,0.8378190398216248,0.6756381541490555,negative
"Claim Amanda Staveley in charge of Abu Dhabi Barclays deal 'a fantasy', court told",0.6236204504966736,0.3763795495033264,0.24724090099334717,positive
Trump claims credit for UK Huawei ban as China says move 'disheartening' – video,0.8362873792648315,0.16371268033981323,0.6725746989250183,positive
Buzz Bingo to close 26 halls across UK with loss of up to 573 jobs,0.2904271185398102,0.7095728516578674,0.41914573311805725,negative
"UK ban on Huawei in 5G network groundless, says Chinese ambassador",0.44338950514793396,0.5566104650497437,0.11322095990180969,negative
UK fast-food and coffee chains cut prices as VAT relief comes into effect,0.053403329104185104,0.9465966820716858,0.8931933529675007,negative
"Apple does not need to pay €13bn Irish tax bill, EU court rules",0.032744042575359344,0.9672560095787048,0.9345119670033455,negative
‘I can’t afford to turn away business’: view from shops on face mask rules,0.5961886644363403,0.40381136536598206,0.19237729907035828,positive
The Number Bias by Sanne Blauw review – how numbers can mislead us,0.6766199469566345,0.32338011264801025,0.35323983430862427,positive
Chinese media calls for 'pain' over UK Huawei ban as Trump claims credit,0.08426641672849655,0.9157336354255676,0.8314672186970711,negative
Matt Hancock rules out mandatory face masks in offices,0.10828320682048798,0.8917167782783508,0.7834335714578629,negative
Burberry to cut 500 jobs worldwide in £55m cost-saving drive,0.6206503510475159,0.37934964895248413,0.24130070209503174,positive
UK inflation rises as game console prices increase in lockdown,0.7674285769462585,0.23257149755954742,0.5348570793867111,positive
BFI diversity standards 'failing to tackle race discrimination in UK film industry',0.4750421345233917,0.5249578952789307,0.04991576075553894,negative
