text,certainty,sentiment,manual_sentiment
The long read  The George Soros philosophy – and its fatal flaw,0.0,negative,discard
Lockdown lifting: US exercise equipment sales soar amid pandemic,6.103515625e-05,positive,negative
The Guardian view on His Dark Materials on the BBC: a perfect match,9.918212890625e-05,positive,discard
EasyJet founder offers £5m reward as he seeks to derail Airbus order,0.000244140625,positive,negative
Business live  Government won't hold inquiry into hedge funds speculating on no-deal Brexit – as it happened,0.00030517578125,negative,positive
Profit over safety? Boeing under fire over 737 Max crashes as families demand answers,0.000335693359375,negative,negative
"Business leader  


  If government doesn’t help the high streets, we’ll be shopping in ghost towns",0.0003509521484375,positive,negative
'Damaged ideology': business must reinvent capitalism – ex-Unilever boss,0.0003662109375,negative,negative
"Mission incredible: Bob Katter, Ricki-Lee and the $135m Dunk Island spending spree",0.0003662109375,positive,positive
May could yet leave the Brexit rebels high and dry,0.0003662109375,negative,discard
UK house price growth slips to six-year low amid Brexit uncertainty,0.0005035400390625,negative,negative
The disruptors  Storm in a teacup: could instant tea overtake the classic bag?,0.0006103515625,negative,discard
Exploitation in focus  'National shame': MP sounds alarm over UK fast fashion factories,0.00091552734375,negative,negative
How do countries differ in their response to the coronavirus economic crisis?,0.0009765625,negative,discard
BMW 'interested in taking over Honda's Swindon site',0.0009765625,positive,positive
"Business leader  


  Trump’s trade war makes political sense to his base. Rivals must beware",0.0010986328125,positive,discard
Persimmon launches review in drive to rebuild its image,0.0010986328125,positive,positive
China confident of agreeing US trade deal despite Trump's combative stance,0.00115966796875,positive,positive
5G conspiracy theories fuel attacks on telecoms workers,0.001251220703125,negative,negative
Venmo: how the payment app exposes our private lives,0.0013427734375,positive,negative
Online fashion retailer Boohoo doubles sales over festive period,0.0013885498046875,negative,positive
Danske Bank's choice of CEO blocked by Danish regulator,0.001617431640625,positive,negative
"Project Syndicate economists  


  A Chinese digital currency is the real threat, not Facebook's Libra",0.00201416015625,positive,negative
"Pizza Express to close up to 75 restaurants, risking 1,000 jobs",0.0020599365234375,negative,negative
ITV chief: now is last chance to build British challenger to Netflix,0.00213623046875,positive,positive
Running reaches crossroads as Nike-led footwear arms race infects mainstream,0.002197265625,negative,negative
"Nils Pratley on finance  


  Ministers should check their post – Royal Mail's problems are stacking up",0.002197265625,negative,negative
Primark warning sends shivers through high street in festive run-up,0.002410888671875,positive,negative
Observer comment cartoon  Boris Johnson unleashes the ogre of recession – cartoon,0.0026855170726776,negative,discard
"UK pay growth rises to 3.1%, the highest in almost a decade",0.002716064453125,negative,positive
Declaring war on Cosmo? It feels like we're back in the 1980s,0.0027465522289276,negative,negative
Air France could face trial over 2009 crash of Rio-Paris flight,0.002899169921875,negative,negative
Business live  London stock market rallies after worst outage in eight years - as it happened,0.0029296875,negative,positive
"Financial inequality: the ethnicity gap in pay, wealth and property",0.0029296875,positive,negative
Calls for 'serious reform' to prevent more Carillion-style collapses,0.00311279296875,positive,negative
Good riddance to GetMeIn and Seatwave. But fans should still beware,0.003173828125,negative,discard
Co-op offers 'no frills' cremation service,0.00323486328125,negative,discard
Martin Shkreli pays price for arrogance – and 'egregious multitude of lies',0.0032958686351776,negative,negative
"When it comes to estate agents, the future could be purple",0.0032958686351776,negative,discard
"How will the US reopen? Slowly, bit by bit, but we may never return to 'normal'",0.003448486328125,positive,positive
Business live  Turkish stocks tumble as crackdown on lira speculation spooks markets - as it happened,0.00347900390625,negative,negative
Business live  FTSE 100 slides to seven-month low as Wall Street falls – as it happened,0.0035858154296875,negative,negative
The Guardian view on Venezuela’s hyperinflation: a lethal dose?,0.0036620795726776,negative,negative
Solar power: how investing can help to change lives,0.0037841796875,negative,positive
Richard Branson facing backlash over plea for UK bailout of Virgin,0.0041274726390838,positive,negative
Business live  City watchdog to take no action over RBS mistreatment of customers - as it happened,0.004150390625,negative,negative
Saudi modernisation drive is reflected in Aramco's faltering sale,0.004150390625,positive,positive
'Wake-up call for UK' after nine months of falling car production,0.00421142578125,positive,negative
Calls to put a stop to the academisation of schools,0.0043945014476776,positive,discard
"Northern rail to be stripped of franchise, says Grant Shapps",0.0045165717601776,negative,discard
Meet the British CEO of the firm behind the gun that brought tragedy to Florida,0.0046996772289276,positive,discard
"Tories have cost households £1,000 in energy bills, says Labour",0.0047339797019958,negative,negative
"The Cambridge Analytica Files  Facebook's privacy practices are under investigation, FTC confirms",0.0047454535961151,positive,negative
"Most UK businesses unprepared for no-deal Brexit, says Carney",0.0047454535961151,positive,negative
Unprotected GKN left to brave the cold corporate winds alone,0.0047607123851776,negative,negative
"US consumer watchdog chief can be fired by president, supreme court rules",0.0048827826976776,positive,negative
"Jack Lear review – Shakespeare, shanties and a raging Barrie Rutter",0.0048827826976776,positive,discard
"Business leader  


  UK blackouts raise questions over private sector’s right to profit from power",0.0050963759422302,positive,negative
Minister to meet Vauxhall owner amid Ellesmere Port closure fears,0.0052489936351776,positive,negative
Uber to face stricter EU regulation after ECJ rules it is transport firm,0.0052489936351776,positive,negative
The long read  How big tech is dragging us towards the next financial crash,0.0053710341453552,positive,negative
