text,lemmas,ngrams,named_ents,sentiment
Operating cash flow after investments totalled EUR 61.3 mn compared to EUR 75.3 mn in the corresponding period in 2007 .,"['operate', 'cash', 'flow', 'investment', 'total', 'compare', 'corresponding', 'period']","['operate_cash', 'operate_cash_flow', 'corresponding_period']",[],negative
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .","['pct', 'extend', 'recent', 'low', 'week', 'second', 'quarter', 'report', 'dealer', 'say']","['recent_low', 'last_week']",[],negative
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .","['sale', 'decrease', 'international', 'sale', 'fall']",['international_sale'],['Finland/GPE'],negative
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .","['control', 'nordic', 'group', 'post', 'cent', 'growth', 'beer', 'sale', 'litre']",['nordic_group'],[],positive
"'' Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .","['lining', 'stone', 'sale', 'good', 'early', 'autumn', 'order', 'book', 'strong', 'end', 'year']",['early_autumn'],[],positive
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,"['company', 'report', 'today', 'operating', 'loss', 'm', 'net', 'sale', 'm', 'quarter']","['report_today', 'net_sale', 'first_quarter']",[],negative
Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,"['own', 'percent', 'earn', 'bn', 'value', 'appreciation']",[],"['Stora_Enso/PERSON', 'Bergvik/GPE']",positive
"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .","['long', 'stand', 'partnership', 'commitment', 'enable', 'party', 'develop', 'respective', 'operation', 'opportunity', 'update', 'fleet', 'improve', 'efficiency']","['stand_partnership', 'respective_operation']",[],positive
"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .","['company', 'annual', 'loss', 'amount', '18mn', 'compare', 'profit']",['annual_loss'],[],negative
"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .","['control', 'percent', 'stake', 'a.', 'say', 'annual', 'report', 'publish', 'early', 'year', 'lithuanian', 'brewery', 'sale', 'reach', 'euro', 'year', 'rise', 'percent', 'euro']","['annual_report', 'lithuanian_brewery', 'last_year']",[],positive
This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .,"['assignment', 'strengthen', 'position', 'international', 'provider', 'engineering', 'project', 'service', 'chemical', 'process', 'industry']",['international_provider'],['Poyry/PERSON'],positive
"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur .","['quarterly', 'dilute', 'continue', 'operation', 'come', 'eur', 'compare', 'year', 'eur']","['continue_operation', 'last_year']",[],positive
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .","['net', 'sale', 'see', 'grow', 'm', 'eur582', 'm']",['net_sale'],[],positive
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .","['instal', 'elevator', 'double', 'deck', 'elevator', 'enable', 'efficient', 'use', 'building', 'core', 'space']","['instal_elevator', 'efficient_use', 'core_space']",[],positive
"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .","['group', 'net', 'sale', 'continue', 'operation', 'rise', 'corresponding', 'period']","['net_sale', 'continue_operation', 'corresponding_period']",[],positive
One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .,"['challenge', 'oil', 'production', 'scale', 'formation', 'plug', 'pipeline', 'halt', 'production']","['plug_pipeline', 'halt_production']",[],negative
"Tieto offers Aktia a good foundation and the required support services for implementing the update project , ' says Juha Volotinen , responsible for Aktia 's web services .","['offer', 'good', 'foundation', 'require', 'support', 'service', 'implement', 'update', 'project', 'say', 'responsible', 'web', 'service']","['good_foundation', 'require_support', 'require_support_service']","['Tieto/GPE', 'Juha_Volotinen/PERSON']",positive
"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .","['plan', 'hasten', 'collective', 'bargaining', 'day', 'strike', 'begin']",['collective_bargaining'],['Finland/GPE'],negative
"'' The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .","['second', 'quarter', 'growth', 'net', 'sale', 'quarter', 'of2008', 'say']","['second_quarter', 'net_sale', 'third_quarter', 'third_quarter_of2008']",['Magnus_Rosen/PERSON'],positive
"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .","['pretax', 'loss', 'total', 'profit']",['pretax_loss'],[],negative
"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .","['earning', 'share', '.30', 'increase', 'year', 'year']",[],[],positive
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .","['major', 'brewery', 'increase', 'domestic', 'beer', 'sale', 'cent', 'year', 'litre', 'litre']","['major_brewery', 'domestic_beer', 'domestic_beer_sale', 'last_year']",[],positive
New product launches in Finland will more than double from 2005 .,"['new', 'product', 'launch', 'double']",['new_product'],['Finland/GPE'],positive
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,"['production', 'liquidate', 'employee', 'loose', 'job']",[],[],negative
Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .,"['kroon', 'mln', 'loss', 'year', 'year', 'company', 'kroon', 'black']",['last_year'],[],negative
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .","['frost', 'sell', 'share', 'share', 'compare', 'high', 'low']",['sell_share'],[],negative
"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .","['commission', 'income', 'decrease', 'compare', 'quarter']",['third_quarter'],[],negative
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .","['earning', 'share', 'amount', '.30']",[],['EUR1_.37/GPE'],negative
"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .","['say', 'contract', 'estimate', 'contribute', 'net', 'sale']",['net_sale'],[],positive
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,"['cramo', 'slip', 'pretax', 'loss', 'pretax', 'profit']","['pretax_loss', 'pretax_profit']",['cramo/FAC'],negative
"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million .","['reporting', 'period', 'company', 'operating', 'profit', 'grow']",[],[],positive
Componenta 's objective with this agreement is to increase business on its existing production lines .,"['objective', 'agreement', 'increase', 'business', 'exist', 'production', 'line']","['increase_business', 'exist_production', 'exist_production_line']",[],positive
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .","['comparable', 'operating', 'profit', 'total', '854mn', '730mn']","['comparable_operating', 'comparable_operating_profit']",[],positive
"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 .","['half', 'm', 'fall', 'short', 'post', 'period']","['first_half', 'same_period']",[],negative
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .","['operating', 'loss', 'total', 'compare', 'profit']",[],[],negative
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .","['agree', 'supply', 'tonne', 'sulphuric', 'acid', 'use', 'leach', 'process', 'period', 'supply', 'zinc', 'concentrate']","['sulphuric_acid', 'leach_process']",['Talvivaara/PERSON'],positive
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 February 2008 , an increase of 11.2 % from a year earlier .","['finnish', 'high', 'technology', 'provider', 'report', 'net', 'sale', 'accounting', 'period', 'increase', 'year', 'early']","['high_technology', 'high_technology_provider', 'net_sale']",[],positive
Finnish Bank of +_land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,"['+', 'land', 'report', 'operating', 'profit', 'rise', 'second', 'quarter', 'corresponding', 'period']","['second_quarter', 'corresponding_period']",[],positive
