text,prob_pos,prob_neg,certainty,sentiment
Jim Cramer: A better way to invest in the Covid-19 vaccine gold rush,0.9993201494216919,0.0006798428948968649,0.998640306526795,positive
Cramer's lightning round: I would own Teradyne,0.09138211607933044,0.9086179733276367,0.8172358572483063,negative
"Cramer's week ahead: Big week for earnings, even bigger week for vaccines",0.2705765664577484,0.7294234037399292,0.4588468372821808,negative
IQ Capital CEO Keith Bliss says tech and healthcare will rally,0.4683897793292999,0.5316102504730225,0.06322047114372253,negative
"Wall Street delivered the 'kind of pullback I've been waiting for,' Jim Cramer says",0.8271310925483704,0.17286889255046844,0.6542621999979019,positive
Cramer's lightning round: I would just stay long Wex,0.0413459911942482,0.95865398645401,0.9173079952597618,negative
Acorns CEO: Parents can turn $5 into five figures for their kids through 'power of compounding',0.8040214776992798,0.19597849249839783,0.608042985200882,positive
Dividend cuts may mean rethinking your retirement income strategy,0.20016653835773468,0.7998334765434265,0.5996669381856918,negative
"StockX has authenticated 1 million Jordan sneakers this year, CEO says",0.5097643733024597,0.4902355968952179,0.01952877640724182,positive
Biohaven Pharmaceuticals lands Khloe Kardashian as influencer of new migraine drug,0.9962419271469116,0.0037580945063382387,0.9924838326405734,positive
Cramer's lightning round: I like Beyond Meat,0.27209708094596863,0.727902889251709,0.45580580830574036,negative
"Cramer: We desperately need another round of federal stimulus, despite vaccine progress",0.9628131985664368,0.03718677535653114,0.9256264232099056,positive
Cramer's lightning round: Buy more VMware,0.545830488204956,0.4541695713996887,0.09166091680526733,positive
"Wall Street did something 'highly unusual' in Tuesday's session, Jim Cramer says",0.6914387345314026,0.308561235666275,0.38287749886512756,positive
"Charts suggest the S&P 500 climb will stall out at the end of July, Jim Cramer warns",0.39864054322242737,0.601359486579895,0.20271894335746765,negative
Salesforce's Marc Benioff: Face masks can end the U.S. coronavirus crisis within weeks,0.18206167221069336,0.8179383277893066,0.6358766555786133,negative
"Crown Castle's 'good story can get even better' on activist fight, Jim Cramer says",0.8889517188072205,0.11104825139045715,0.7779034674167633,positive
Ellevest's Sallie Krawcheck says the economic crisis has caused a 'she-cession',0.027954401448369026,0.9720456600189209,0.9440912585705519,negative
Cramer's lightning round: Zoom's pullback is a buying opportunity,0.6564931273460388,0.34350690245628357,0.31298622488975525,positive
"Cramer's earnings watch: 'If the banks get hammered, things could get ugly'",0.3321208357810974,0.6678791642189026,0.3357583284378052,negative
Stay invested in US markets for the next two years: Strategist,0.9988304972648621,0.0011695101857185364,0.9976609870791435,positive
DBS sees signs of a 'healthy' US market rally,0.6401157975196838,0.35988420248031616,0.2802315950393677,positive
Aggressive policy bolstering markets: Hirtle Callaghan,0.6960358023643494,0.30396416783332825,0.3920716345310211,positive
"Cramer's week ahead: Big business is bouncing back, and bouncing back with a vengeance",0.19140323996543884,0.8085967898368835,0.6171935498714447,negative
Cramer's lightning round: I don't like Archer-Daniels-Midland Co,0.24184733629226685,0.7581527233123779,0.5163053870201111,negative
Sustainable produce supplier Apeel lands deal with Wakefern grocery stores,0.9985191226005554,0.0014808280393481255,0.9970382945612073,positive
Jim Cramer deciphers the speculative and blue-chip stocks driving the market,0.7141797542572021,0.28582027554512024,0.4283594787120819,positive
Cramer's lightning round: BlackRock is a buy,0.515863835811615,0.4841361939907074,0.03172764182090759,positive
"The S&P 500 'could get ugly' in the near future, Jim Cramer warns",0.8675976395606995,0.13240233063697815,0.7351953089237213,positive
Conagra CEO on revamping Mrs. Butterworth's brand: 'Perception is reality',0.3864956796169281,0.6135043501853943,0.2270086705684662,negative
Cramer's lightning round: Nokia has 'good things coming',0.6628168821334839,0.33718305826187134,0.32563382387161255,positive
Jim Cramer breaks down his favorite stocks from a record second quarter,0.025589553639292717,0.9744104743003845,0.9488209206610918,negative
Jim Cramer: We saw a lot of 'encouraging signs' in Monday's session,0.507354199886322,0.4926457703113556,0.01470842957496643,positive
Cramer's lightning round: James Taiclet will make Lockheed Martin some money,0.944587230682373,0.05541279539465904,0.889174435287714,positive
Restaurant Brands CEO: Popeyes' chicken sandwich has had an unprecedented impact on business,0.8542170524597168,0.1457829624414444,0.7084340900182724,positive
