text,sentiment,set
The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .,positive,train
"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .",positive,train
"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",negative,train
This is the first time Finnair has been awarded an agreement with the UK government .,positive,train
"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",positive,train
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",negative,train
The company expects its net sales in 2008 to increase 5-10 % from 2007 .,positive,train
"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .",positive,train
"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .",positive,train
"Kesko Agro Lietuva , the agricultural machinery and grain trader and another member of the Kesko Group , boosted its sales by 42.9 percent to 13.4 million euros , VAT inclusive .",positive,train
Boeing shares plummet as travel restrictions hit airlines,negative,train
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,train
Credit Suisse revisits ex-U.S. employee's spying claim,negative,train
Airlines see new government in Venezuela as key to repayment of debt: IATA,positive,train
The acquisition is expected to improve access to chrome ore resources in Turkey .,positive,train
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,positive,train
"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless .",positive,train
M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 .,positive,train
Hungary ready to help Audi run local plant at full capacity: Orban,positive,train
"BG AD , Bulgaria 's leading Internet company .",positive,train
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,train
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",positive,train
Exclusive: Italian government leaning towards third term for Eni CEO - sources,positive,train
Rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates .,positive,train
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,positive,train
"Finnair expands : Finnair plans to add more flights on routes to Hong Kong , India and Russia .",positive,train
Indexes tumble as visa restrictions fuel U.S.-China worries,negative,train
"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",negative,train
"Luxury leader LVMH, in green mode, laments Thunberg's pessimism",positive,train
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,train
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",negative,train
The actions are expected to deliver annual cost savings of some EUR15-20m .,positive,train
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,train
`` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . '',positive,train
"However , he expects banks to provide alternative financing .",positive,train
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,train
Sales have risen in other export markets .,positive,train
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,train
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",negative,train
"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .",negative,train
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",negative,train
"Continuing operations turned an operating loss of EUR 0.1 mn , a slight improvement from a loss of EUR 0.2 mn a year earlier .",positive,train
The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,positive,train
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,negative,train
The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .,positive,train
LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,positive,train
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative,train
